Get-DnsClientCache

Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
substrate.office.com      substrate.office.com      CNAME  Success   Answer       2      8 substrate.ms-acdc.office.com
substrate.office.com      substrate.ms-acdc.offi... CNAME  Success   Answer       2      8 afd-k.office.com
substrate.office.com      afd-k.office.com          CNAME  Success   Answer       2      8 outlook-office-com.k-0002...
substrate.office.com      outlook-office-com.k-0... CNAME  Success   Answer       2      8 k-0002.k-msedge.net
substrate.office.com      k-0002.k-msedge.net       AAAA   Success   Answer       2     16 2620:1ec:c::11
substrate.office.com      substrate.office.com      CNAME  Success   Answer       2      8 substrate.ms-acdc.office.com
substrate.office.com      substrate.ms-acdc.offi... CNAME  Success   Answer       2      8 afd-k.office.com
substrate.office.com      afd-k.office.com          CNAME  Success   Answer       2      8 outlook-office-com.k-0002...
substrate.office.com      outlook-office-com.k-0... CNAME  Success   Answer       2      8 k-0002.k-msedge.net
substrate.office.com      k-0002.k-msedge.net       A      Success   Answer       2      4 13.107.18.11
substrate.office.com      substrate.office.com      CNAME  Success   Answer       2      8 substrate.ms-acdc.office.com
substrate.office.com      substrate.ms-acdc.offi... CNAME  Success   Answer       2      8 afd-k.office.com
substrate.office.com      afd-k.office.com          CNAME  Success   Answer       2      8 outlook-office-com.k-0002...
substrate.office.com      outlook-office-com.k-0... CNAME  Success   Answer       2      8 k-0002.k-msedge.net
substrate.office.com      k-0002.k-msedge.net       A      Success   Answer       2      4 13.107.18.11
a.nel.cloudflare.com      a.nel.cloudflare.com      AAAA   Success   Answer   74256     16 2600:1901:0:47fc::
a.nel.cloudflare.com      a.nel.cloudflare.com      A      Success   Answer   74256      4 35.190.80.1
discord.com               discord.com               A      Success   Answer     150      4 162.159.137.232
discord.com               discord.com               A      Success   Answer     150      4 162.159.136.232
discord.com               discord.com               A      Success   Answer     150      4 162.159.135.232
discord.com               discord.com               A      Success   Answer     150      4 162.159.138.232
discord.com               discord.com               A      Success   Answer     150      4 162.159.128.233
cdn.discordapp.com        cdn.discordapp.com        A      Success   Answer     189      4 162.159.133.233
cdn.discordapp.com        cdn.discordapp.com        A      Success   Answer     189      4 162.159.135.233
cdn.discordapp.com        cdn.discordapp.com        A      Success   Answer     189      4 162.159.129.233
cdn.discordapp.com        cdn.discordapp.com        A      Success   Answer     189      4 162.159.130.233
cdn.discordapp.com        cdn.discordapp.com        A      Success   Answer     189      4 162.159.134.233
bidder.criteo.com         bidder.criteo.com         CNAME  Success   Answer     316      8 bidder.da1.vip.prod.crite...
bidder.criteo.com         bidder.da1.vip.prod.cr... A      Success   Answer     316      4 74.119.118.151
t-ring.msedge.net         t-ring.msedge.net         CNAME  Success   Answer      11      8 t-ring.t-9999.t-msedge.net
t-ring.msedge.net         t-ring.t-9999.t-msedge... CNAME  Success   Answer      11      8 t-9999.t-msedge.net
t-ring.msedge.net         t-9999.t-msedge.net       AAAA   Success   Answer      11     16 2620:1ec:bdf::254
t-ring.msedge.net         t-ring.msedge.net         CNAME  Success   Answer      11      8 t-ring.t-9999.t-msedge.net
t-ring.msedge.net         t-ring.t-9999.t-msedge... CNAME  Success   Answer      11      8 t-9999.t-msedge.net
t-ring.msedge.net         t-9999.t-msedge.net       A      Success   Answer      11      4 13.107.246.254
www.lawebdelprogramado... www.lawebdelprogramado... A      Success   Answer     249      4 82.223.103.210
graph.microsoft.com       graph.microsoft.com       CNAME  Success   Answer     163      8 ags.privatelink.msidentit...
graph.microsoft.com       ags.privatelink.msiden... CNAME  Success   Answer     163      8 prd.ags.msidentity.com
graph.microsoft.com       prd.ags.msidentity.com    CNAME  Success   Answer     163      8 ncu.b.prd.ags.trafficmana...
graph.microsoft.com       ncu.b.prd.ags.trafficm... A      Success   Answer     163      4 20.190.135.57
graph.microsoft.com       ncu.b.prd.ags.trafficm... A      Success   Answer     163      4 20.190.135.54
graph.microsoft.com       ncu.b.prd.ags.trafficm... A      Success   Answer     163      4 20.190.135.55
graph.microsoft.com       ncu.b.prd.ags.trafficm... A      Success   Answer     163      4 20.190.135.56
k-ring.msedge.net         k-ring.msedge.net         CNAME  Success   Answer      19      8 k-ring.k-9999.k-msedge.net
k-ring.msedge.net         k-ring.k-9999.k-msedge... CNAME  Success   Answer      19      8 k-9999.k-msedge.net
k-ring.msedge.net         k-9999.k-msedge.net       A      Success   Answer      19      4 13.107.18.254
